"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1138",-1.17051237612123,2.61758615902916,-0.447172434834146,0.654761831820558
"companyBrand 1139",6.87332612891103,5.92196699822295,1.16064917804736,0.245816836677893
"companyBrand 114",9.1545665133545,3.38592595580552,2.70371137255913,0.00687047430621195
"companyBrand 1140",31.9888860116405,22.5949238948355,1.41575542190484,0.156883364082278
"companyBrand 1141",48.328477642337,7.98304179939297,6.05389259592903,1.47314073874273e-09
"companyBrand 1142",0.320082978137032,8.65190347703633,0.0369956714134165,0.970489316354171
"companyBrand 1143",-43.206911741128,8.30355574865984,-5.2034228526859,2.0016934741757e-07
"companyBrand 1144",2.99723897154369,3.9983620195859,0.749616707257066,0.453506104394824
"companyBrand 1145",-1.89483801180319,1.729355994145,-1.095689966796,0.273245178898422
"companyBrand 1146",-0.127981611312317,2.80235789223191,-0.0456692600424379,0.963574926262024
"companyBrand 1147",-16.7487484047107,6.57325609430933,-2.54801397730579,0.0108510651463526
"companyBrand 1148",-1.03536623404548,8.02309001799039,-0.129048313271302,0.897322439810087
"companyBrand 1149",-10.345476092156,3.98686767946549,-2.59488824909859,0.00947824393312893
"companyBrand 115",9.74198289177122,2.17509160976315,4.47888394587299,7.6003457526034e-06
"companyBrand 1150",3.32103854705611,5.65625684605261,0.587144225845013,0.557122271239719
"companyBrand 1151",3.70287686989466,6.79495478314166,0.544945034672126,0.585805462314524
"companyBrand 1152",-4.04272533782066,1.94459616238846,-2.0789536748109,0.0376511969830501
"companyBrand 1153",-0.505043363406474,2.60883300979478,-0.193589762744608,0.84650168980263
"companyBrand 1154",-8.94134478827342,2.99096765707805,-2.98944883844328,0.00280272373014124
"companyBrand 1155",6.71098468963687,2.81757327455804,2.38183146831897,0.0172484122301829
"companyBrand 1156",-3.81266595434596,3.03311513687106,-1.25701326270096,0.208782994386636
"companyBrand 1157",-5.14484210994583,2.32977948407925,-2.20829574004903,0.0272499660116919
"companyBrand 1158",-0.496255924034207,2.07684855637117,-0.238946610965849,0.811152679513414
"companyBrand 1159",-0.156097024000027,1.96591584644275,-0.0794016815533983,0.93671497988901
"companyBrand 116",-2.92978243895436,2.69121192868947,-1.0886479833571,0.276339675620027
"companyBrand 1160",4.55664061109007,2.8854005900057,1.57920554493304,0.114325721573548
"companyBrand 1161",0.974698553394723,5.79565893066734,0.168177348780338,0.866447717646721
"companyBrand 1162",-18.8074706345745,28.8013136498123,-0.653007389289588,0.513768982852063
"companyBrand 1163",0.266003613782726,2.64406769372157,0.100603934768524,0.919867219825187
"companyBrand 1164",-0.295174650171159,1.53875160681409,-0.191827354632178,0.847881974992904
"companyBrand 1165",-2.80877482196055,2.65658894568176,-1.05728619646866,0.29041070918322
"companyBrand 1166",0.544216343911357,18.3542248605887,0.0296507397095222,0.976346287146994
"companyBrand 1167",30.1575555426729,4.41906466236389,6.82442051584298,9.42613737554848e-12
"companyBrand 1168",-1.51860680091487,1.41901203262443,-1.07018599278982,0.284565653228784
"companyBrand 1169",-8.23775074120551,2.83238631191407,-2.90841355451919,0.00364197935243284
"companyBrand 117",0.882639472686302,1.58359032910123,0.557366041245811,0.577291878384357
