"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1091",4.43382555693656,9.01592418051293,0.49177715652488,0.622889445700483
"companyBrand 1092",11.305816036159,3.32626229981471,3.39895504837029,0.000679511968733551
"companyBrand 1093",13.5526518496313,1.38078163627499,9.81520284857859,1.27305805856296e-22
"companyBrand 1094",-5.59419625167237,5.58234917757828,-1.00212223809676,0.316312770052415
"companyBrand 1095",-1.34012507263717,3.2308348897204,-0.414792187895789,0.678304391396798
"companyBrand 1096",-1.99825350677363,3.38176544655716,-0.590890627499897,0.55460924357359
"companyBrand 1097",-0.856772585133921,2.751372155279,-0.311398290300369,0.755505405820559
"companyBrand 1098",-0.104097839156838,3.15969643068013,-0.0329455191157181,0.973718798472203
"companyBrand 1099",-3.23558227983836,2.77252417642238,-1.16701679550852,0.243235963076402
"companyBrand 11",-2.72025085376886,2.2487502965842,-1.20967226014416,0.226437948339043
"companyBrand 110",0.100725386986978,0.915935336134526,0.109969976059734,0.912435753516478
"companyBrand 1100",15.9343200315948,16.8609364936073,0.945043594561677,0.344663185322945
"companyBrand 1101",-19.2589848307278,6.90132136724491,-2.79062281060187,0.00527227179709676
"companyBrand 1102",20.1204315498892,4.9824237303863,4.03828189625478,5.43121171779641e-05
"companyBrand 1103",3.76542846707222,7.78877861246613,0.48344273915368,0.628793722970225
"companyBrand 1104",-5.26351363393447,2.82144040562181,-1.86554131125603,0.0621396100465692
"companyBrand 1105",22.0739709219444,14.4530864495208,1.52728422396423,0.126727147506679
"companyBrand 1106",-37.9014025249542,14.935395299389,-2.53768994828712,0.0111761929852185
"companyBrand 1107",-10.4012721720796,8.6848532796608,-1.19763360843856,0.231092712750998
"companyBrand 1108",-2.02851986313113,4.50976540511571,-0.449806072136271,0.652861622430002
"companyBrand 1109",9.42398292310177,3.24887143554606,2.90069432110902,0.00373281192314287
"companyBrand 111",49.5084113682547,27.60353974117,1.79355299474198,0.0729196857323897
"companyBrand 1110",0.637497196699272,1.89503173646632,0.33640449625821,0.736574071848635
"companyBrand 1111",-1.48831951395594,2.64128830738111,-0.563482414924872,0.573121131110018
"companyBrand 1112",-0.731586549142235,1.88033077826016,-0.389073325608785,0.697231543424817
"companyBrand 1113",-16.5715238550466,20.0266039033998,-0.827475488853775,0.407990582467669
"companyBrand 1114",-2.70130049909734,1.71396818220187,-1.57605055166606,0.115050956882323
"companyBrand 1115",-0.255184294076535,2.13556009460478,-0.119492911822629,0.904887648064139
"companyBrand 1116",-48.3826785447756,12.3011112416835,-3.93319575721145,8.44830834115307e-05
"companyBrand 1117",-3.51890199561651,2.65969842694647,-1.32304548514414,0.185855448140496
"companyBrand 1118",-16.1365490406547,16.9480279328958,-0.952119568397333,0.341063119502232
"companyBrand 1119",-22.2713217135173,7.19781844913868,-3.09417664128252,0.00197993593076954
"companyBrand 112",4.25259554581378,4.30726144206587,0.987308433215078,0.323519249847551
"companyBrand 1120",-2.16676191340321,1.0697427151457,-2.02549817140665,0.0428470757867899
"companyBrand 1121",16.4165969487043,7.93058024289258,2.07003730444779,0.0384786505802164
"companyBrand 1122",-1.2884852330748,2.60545716349503,-0.494533263155396,0.620942260376847
"companyBrand 1123",-3.81500126488416,2.2321823105484,-1.70909035828122,0.08747031340811
"companyBrand 1124",4.78768536356055,5.66548335772382,0.84506211760969,0.39809968031947
"companyBrand 1125",8.87490108838336,4.03320925276872,2.20045639394755,0.0278010358862914
"companyBrand 1126",8.28898145495691,3.5657955193985,2.32458126380594,0.0201175405318752
"companyBrand 1127",-1.95645246207888,2.73134873650218,-0.716295373026717,0.473828444197276
"companyBrand 1128",-2.19481062744282,2.64274789749841,-0.830503215808213,0.406277398367747
"companyBrand 1129",-11.0178516063588,15.4347208480128,-0.713835495623969,0.475348290969937
"companyBrand 113",-4.46276993936923,4.59424403190549,-0.971382866991128,0.331384992046321
"companyBrand 1130",-0.49217888642503,2.07861445465753,-0.236782191773087,0.812831410429467
"companyBrand 1131",-3.06384061446969,2.28491129874066,-1.34090133658945,0.179987923351605
"companyBrand 1132",1.43597039109145,9.00457223471432,0.159471250122856,0.873301354604313
"companyBrand 1133",495.490472310059,137.604340941376,3.60083460245744,0.000318985351446582
"companyBrand 1134",4.19756005095623,9.63660278817439,0.435585044151378,0.663148762071368
"companyBrand 1135",0.073650624005394,1.45859465887961,0.0504942367346713,0.959729715302246
"companyBrand 1136",-7.82405985162268,6.66087218902586,-1.17462993277566,0.24017534451972
"companyBrand 1137",-43.9677981287448,15.6746525164941,-2.80502537982763,0.00504256204220858
"companyBrand 1138",-1.18699955604297,2.61905429338931,-0.453216857336269,0.650404035976975
"companyBrand 1139",7.93661536810874,5.91634651176446,1.34147236851781,0.179802577586834
"companyBrand 114",8.99337437188618,3.38747171316825,2.65489283258836,0.00794798305002986
"companyBrand 1140",10.0713316009594,10.7301070238801,0.938604953198085,0.347959983405903
"companyBrand 1141",48.1960863509427,7.98743123010963,6.03399077406281,1.66577028512583e-09
"companyBrand 1142",10.2528918499307,6.60989033981081,1.55114401644131,0.12090399297515
"companyBrand 1143",-35.2641949628332,9.175063226726,-3.84348250158236,0.00012217474026899
"companyBrand 1144",1.68729679188879,6.85971709062269,0.245971775453443,0.805709954663973
"companyBrand 1145",-1.88171559080874,1.73032449282275,-1.08749289431777,0.27684953174261
"companyBrand 1146",-0.120492486464411,2.80393393201948,-0.042972655342713,0.965724329792704
"companyBrand 1147",-16.7799969698878,6.57694811748933,-2.55133485472793,0.0107482824829177
"companyBrand 1148",-1.28800907670109,10.0214040254679,-0.128525810697565,0.897735880718677
"companyBrand 1149",-10.2202748670306,3.98892697347661,-2.56216143714533,0.010419187003144
"companyBrand 115",9.76774689154946,2.17630130379908,4.48823279869304,7.27513687525709e-06
"companyBrand 1150",3.3313566096388,5.6594389231841,0.588637258013649,0.556120102930289
"companyBrand 1151",3.82183517254849,6.79868093390627,0.562143628992544,0.574032824022155
"companyBrand 1152",-4.03942839304869,1.94569018776659,-2.07609023186032,0.037915260475884
"companyBrand 1153",-0.497707160390453,2.61030011800638,-0.190670473849795,0.84878827596015
"companyBrand 1154",-8.93781795572028,2.99265057668483,-2.98658922139228,0.00282904189239233
"companyBrand 1155",6.6767895808978,2.81913936723645,2.368378682691,0.0178882323978133
"companyBrand 1156",-3.83346931392808,3.03481528288989,-1.2631639676856,0.206564523230411
"companyBrand 1157",-5.12375480190517,2.33108158256905,-2.19801607983979,0.0279745296109163
"companyBrand 1158",-0.456359484705131,2.07798135194678,-0.219616737309787,0.826174870416786
"companyBrand 1159",-0.136669398236224,1.9670131344529,-0.0694806739428494,0.94460863178071
"companyBrand 116",-2.89922450808551,2.69271010154994,-1.07669388784805,0.281647263421733
"companyBrand 1160",4.57130097947847,2.88702080799132,1.5833973093734,0.113367727637774
"companyBrand 1161",0.987995628965946,5.79891890628324,0.170375831242515,0.864718588257286
"companyBrand 1162",421.260583452096,118.246807564426,3.56255354481832,0.000369253938627344
"companyBrand 1163",0.28684811485911,2.64554789595094,0.108426732813319,0.913659727390175
"companyBrand 1164",-0.293866555261101,1.53961746012874,-0.190869851032041,0.848632069394214
"companyBrand 1165",-2.80182920815424,2.65808304348197,-1.05407888403817,0.291876432820585
"companyBrand 1166",-0.303035047489866,19.2005877847362,-0.0157825922251593,0.987408202420115
